bilayer

11 atom types
10 bond types
13 angle types

5432 atoms
4304 bonds
3944 angles

0.000000 65.753487 xlo xhi
0.000000 65.753487 ylo yhi
0.000000 67.006599 zlo zhi

Masses

1 27.000000 # TC5
2 54.000000 # C1s
3 56.000000 # C1
4 42.000000 # SC3
5 41.000000 # SP2q
6 26.000000 # TC5s
7 28.000000 # TP2q
8 56.000000 # C4
9 31.000000 # TP6
10 30.000000 # TP6s
11 80.000000 # SQ4

Pair Coeffs # id, epsilon [kcal/mol], sigma [Angstroms]

 1 0.0e00 1.0e00 # TC5
 2 0.0e00 1.0e00 # C1s
 3 0.0e00 1.0e00 # C1
 4 0.0e00 1.0e00 # SC3
 5 0.0e00 1.0e00 # SP2q
 6 0.0e00 1.0e00 # TC5s
 7 0.0e00 1.0e00 # TP2q
 8 0.0e00 1.0e00 # C4
 9 0.0e00 1.0e00 # TP6
 10 0.0e00 1.0e00 # TP6s
 11 0.0e00 1.0e00 # SQ4

Atoms

1 1 1  23.989630 31.642593 39.954445
2 1 2  24.798149 28.758333 42.345371
3 1 3  24.727678 25.370001 46.141964
4 1 3  21.750715 22.435715 47.767323
5 1 4  19.026190 21.198809 50.779999
6 1 5  16.212196 19.200001 51.455368
7 1 6  15.298846 17.506538 50.478077
8 1 7  13.276785 18.707500 50.924999
9 1 8  11.166607 20.457678 49.189106
10 1 7  11.442501 23.980000 48.561073
11 1 6  12.153077 26.136538 47.730000
12 1 5  13.462194 24.980488 46.438049
13 1 4  14.614285 24.956429 43.172859
14 1 3  15.995536 25.379642 38.895893
15 1 3  17.049465 26.961250 34.321606
16 1 2  17.767963 29.387962 30.110371
17 1 1  18.164076 31.543333 27.081852
18 2 1  63.106667 28.938890 30.927036
19 2 2  60.617962 27.634815 33.159073
20 2 3  59.478573 27.550892 37.125538
21 2 3  60.171967 26.703571 42.149822
22 2 4  60.658810 25.815001 46.230953
23 2 5  58.192928 25.525610 48.521709
24 2 6  56.113461 24.921539 48.340385
25 2 7  56.472145 24.503572 50.746784
26 2 8  55.395893 22.328928 53.318214
