glycerol

3 atom types
2 bond types
1 angle types

3000 atoms
2000 bonds
1000 angles

0.000000 49.426701 xlo xhi
0.000000 49.426701 ylo yhi
0.000000 49.426701 zlo zhi

Masses

1 31.000000 # C
2 30.000000 # C1
3 31.000000 # C2

Atoms

1 1 1  24.767418 42.299034 48.894764
2 1 2  22.702999 41.776337 48.897697
3 1 3  21.235483 43.202259 47.675735
4 2 1  8.150645 13.162580 41.658390
5 2 2  9.760667 14.515334 42.443001
6 2 3  10.547418 13.976452 44.525806
7 3 1  35.229034 39.302582 43.513226
8 3 2  33.513332 39.874001 44.906666
9 3 3  33.621937 42.111294 45.439034
10 4 1  47.002583 7.403872 0.795483
11 4 2  47.947330 5.413667 0.206667
12 4 3  0.721041 5.559353 49.191856
13 5 1  37.331291 27.444517 3.603226
14 5 2  39.265667 26.836334 2.785336
15 5 3  39.319675 24.831289 1.751290
16 6 1  1.304194 15.617096 42.255161
17 6 2  49.262032 16.808666 43.640663
18 6 3  1.157420 18.889355 43.390320
19 7 1  6.932257 4.765485 9.069354
20 7 2  8.251999 4.998667 7.271002
21 7 3  6.824196 5.874195 5.742581
22 8 1  7.260968 18.795162 30.034840
23 8 2  6.922000 16.617666 29.426670
24 8 3  6.077097 16.428389 27.223225
25 9 1  45.151615 48.388065 1.731613
26 9 2  46.815334 48.092999 3.159666
27 9 3  47.237423 0.490074 4.584839
28 10 1  6.947743 23.567097 41.947746
29 10 2  8.680999 22.104666 41.871002
30 10 3  9.885806 21.984518 40.111935
31 11 1  48.667419 7.286772 23.508387
32 11 2  47.862000 9.477666 23.049000
33 11 3  45.812901 9.686453 23.284515
34 12 1  44.155807 15.983225 8.914840
35 12 2  46.079666 15.795333 9.723666
36 12 3  46.670322 17.631290 11.209999
37 13 1  49.116779 12.333225 46.015484
38 13 2  1.371635 10.913667 46.337337
39 13 3  0.486851 9.419677 47.711613
40 14 1  14.986452 24.642260 9.428064
41 14 2  15.576666 23.108665 10.948667
42 14 3  15.533549 23.704193 13.057742
43 15 1  5.241934 10.638710 37.310966
44 15 2  2.826998 10.718334 37.462002
45 15 3  2.011290 12.602257 36.683872
46 16 1  32.643551 24.471613 24.705484
47 16 2  33.042000 25.539000 26.673666
48 16 3  35.291611 25.688066 26.419033
49 17 1  13.189032 33.220646 3.499677
50 17 2  14.517667 31.748333 4.602000
51 17 3  13.249033 29.923550 3.532580
52 18 1  4.002582 48.540970 43.704838
53 18 2  4.181667 1.193302 43.177998
54 18 3  4.843225 1.702331 41.122257
55 19 1  31.427099 20.785162 28.644836
56 19 2  29.849669 21.961334 29.563999
57 19 3  29.942257 23.946774 28.738066
58 20 1  9.114515 34.663868 26.454840
59 20 2  7.907667 33.477333 24.728001
60 20 3  8.202259 34.431614 22.647741
61 21 1  21.664839 11.999033 1.710323
62 21 2  22.539333 9.943001 2.384334
63 21 3  24.690001 10.482258 2.532579
64 22 1  46.264839 4.972580 19.242256
65 22 2  48.501331 4.453333 19.511999
66 22 3  49.146450 4.472902 21.757744
67 23 1  12.203874 24.378386 32.503868
68 23 2  12.935667 26.285000 31.672335
69 23 3  12.178066 27.000324 29.659678
70 24 1  15.098387 42.019356 24.962259
71 24 2  16.884666 40.732666 25.461332
72 24 3  16.474516 38.483547 25.193548
73 25 1  34.408066 3.925806 27.345161
74 25 2  35.688663 3.736666 29.136665
75 25 3  37.928387 3.938710 28.950323
76 26 1  7.848387 49.224514 42.163227
77 26 2  9.877999 48.814335 41.757000
78 26 3  10.736452 1.400721 41.809032
79 27 1  36.757095 44.652905 45.953873
80 27 2  38.111000 43.049999 46.635002
81 27 3  38.451939 41.220325 45.443550
82 28 1  22.623873 34.270000 33.330647
83 28 2  21.945665 36.260334 32.377666
84 28 3  20.100000 36.480644 33.524837
85 29 1  5.449033 21.171612 22.957096
86 29 2  5.968667 22.484667 24.587332
87 29 3  6.239033 24.567417 23.381615
88 30 1  0.634517 29.157419 39.981613
89 30 2  2.051666 28.733334 38.383663
90 30 3  1.077096 26.841614 37.598385
91 31 1  25.265162 24.529678 24.076773
92 31 2  23.464333 23.220331 24.768332
93 31 3  24.085161 21.265806 23.849678
94 32 1  1.673871 27.045160 1.715805
95 32 2  49.045361 27.841665 1.774332
96 32 3  47.433800 26.342903 2.121291
97 33 1  7.302904 17.358711 16.854195
98 33 2  5.135667 17.972668 17.020000
99 33 3  4.959677 19.225483 15.130322
100 34 1  41.758389 10.520322 18.106127
101 34 2  40.136669 10.730333 19.437002
102 34 3  39.008064 12.645808 18.993225
103 35 1  12.207741 28.026773 39.621613
104 35 2  10.027333 27.903334 39.383667
105 35 3  8.725807 29.946451 39.395485
106 36 1  42.635807 39.677418 32.122257
107 36 2  43.045002 37.592667 32.855663
108 36 3  41.014511 36.709354 32.270000
109 37 1  33.042259 35.019676 5.978710
110 37 2  35.169998 35.396999 6.487332
111 37 3  35.635487 35.365162 8.806774
112 38 1  43.783550 24.546776 46.467739
113 38 2  45.666000 23.656666 45.381668
114 38 3  45.215485 24.840324 43.480320
115 39 1  45.267422 37.682903 35.136452
116 39 2  46.743999 38.952999 36.251335
117 39 3  48.242256 39.536774 34.588066
118 40 1  35.971611 34.291611 33.445808
119 40 2  34.541664 33.483334 32.066666
120 40 3  34.401291 35.308067 30.613548
121 41 1  8.415161 23.740322 32.078064
122 41 2  7.907334 21.518335 32.752666
123 41 3  9.831614 21.175806 33.699997
124 42 1  0.327096 2.852903 24.970968
125 42 2  0.973665 4.965666 25.213333
126 42 3  0.843870 5.870967 27.207096
127 43 1  7.881614 25.928385 3.489356
128 43 2  6.159666 27.037998 2.656668
129 43 3  4.423225 25.765808 3.182258
130 44 1  38.756126 18.529354 14.460648
131 44 2  37.859333 17.899334 12.549334
132 44 3  38.150646 19.765484 11.168064
133 45 1  13.732903 22.947742 26.910645
134 45 2  12.839001 22.756998 29.039000
135 45 3  11.429678 20.933228 28.501612
136 46 1  40.687096 34.110001 4.103227
137 46 2  39.652664 34.227669 6.118000
138 46 3  41.252258 34.119034 7.725806
139 47 1  47.824196 16.564194 32.328068
140 47 2  48.424667 15.202002 33.966999
141 47 3  0.477495 13.593225 33.528709
142 48 1  12.782902 47.549030 23.219034
143 48 2  13.503666 47.084335 21.094666
144 48 3  15.031612 48.741291 20.372257
145 49 1  11.672902 31.556452 24.407742
146 49 2  9.727001 30.668667 24.693668
147 49 3  8.994516 29.230965 23.272902
148 50 1  38.015484 47.573227 3.733550
149 50 2  36.911999 49.160000 4.806001
150 50 3  34.789032 48.129353 4.955807
151 51 1  9.403871 3.633224 28.358065
152 51 2  11.417000 4.731667 27.531668
153 51 3  10.341289 6.111612 26.153545
154 52 1  14.703226 4.811935 43.429352
155 52 2  12.851333 3.763333 43.102661
156 52 3  11.266129 4.094517 44.556774
157 53 1  27.344837 11.766452 41.230324
158 53 2  25.493999 13.084001 41.604336
159 53 3  24.642260 11.750322 43.238712
160 54 1  46.516449 45.426777 1.249999
161 54 2  44.400665 44.835003 0.813333
162 54 3  43.821934 42.720001 1.470647
163 55 1  24.178707 5.427740 37.152905
164 55 2  24.544666 7.448333 36.459000
165 55 3  26.930643 7.545807 36.242905
166 56 1  17.997742 0.878387 5.711613
167 56 2  16.001331 1.730000 5.252335
168 56 3  15.818064 3.916451 5.379679
169 57 1  23.003223 26.731936 26.984194
170 57 2  22.286001 26.629333 24.879667
171 57 3  20.248064 27.356129 24.966129
172 58 1  4.863225 5.044839 1.454194
173 58 2  6.397668 4.912001 49.390366
174 58 3  7.727419 6.649354 48.916374
175 59 1  17.051935 43.394512 13.179032
176 59 2  17.241669 41.710667 11.649002
177 59 3  18.955809 42.149677 10.127419
178 60 1  32.351612 2.848710 34.108387
179 60 2  33.533001 3.212000 32.258331
180 60 3  33.316128 5.485485 31.583548
181 61 1  41.403873 42.302258 36.585804
182 61 2  39.440666 42.891331 37.383335
183 61 3  39.563873 45.253227 37.295807
184 62 1  32.709999 39.733547 35.450001
185 62 2  32.570667 37.499001 35.458332
186 62 3  32.749031 37.088711 33.196774
187 63 1  40.783871 15.321934 21.697096
188 63 2  43.106663 15.645334 21.827000
189 63 3  43.754837 13.913227 20.517094
190 64 1  8.539032 47.788071 35.276131
191 64 2  8.136333 0.354634 34.241333
192 64 3  6.107097 49.133869 34.739033
193 65 1  23.947420 6.979676 3.167421
194 65 2  26.027666 7.103333 2.447999
195 65 3  26.696775 5.044518 1.422580
196 66 1  6.949032 47.113873 24.743872
197 66 2  8.567334 46.982666 26.323999
198 66 3  9.246775 49.043224 26.698065
199 67 1  17.414839 3.686774 47.307095
200 67 2  15.466333 4.726999 47.673668
201 67 3  15.417739 6.875160 48.063869
202 68 1  39.236774 18.380646 18.416452
203 68 2  37.782330 20.336668 18.439667
204 68 3  38.914516 22.025806 17.625805
205 69 1  17.964518 39.317741 28.925484
206 69 2  20.295336 40.059002 28.951000
207 69 3  20.955484 38.627094 30.393551
208 70 1  0.457497 35.942581 33.925163
209 70 2  1.701968 34.254333 33.269665
210 70 3  2.952980 35.014194 31.668711
211 71 1  23.133871 6.332903 15.273872
212 71 2  22.197666 4.608000 16.366665
213 71 3  23.525162 3.441291 17.727419
214 72 1  5.259033 21.184515 12.637418
215 72 2  5.792000 22.316668 10.894333
216 72 3  8.016452 21.784517 10.476774
217 73 1  24.937738 21.432257 15.731291
218 73 2  25.823664 19.410667 16.092667
219 73 3  27.455484 20.991934 15.246130
220 74 1  25.158386 45.739033 18.088387
221 74 2  24.151999 44.526001 16.427666
222 74 3  22.015162 45.262581 16.908064
223 75 1  39.763546 9.365163 5.810645
